Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Concept: Platform,Concept: Service,Concept: Technology,Concept: Company,Concept: Personal Information,Concept: Other Brands,Concept: Non-Brands,Concept: Hosting Provider,Concept: Others,Concept: Control Panel
secure web hosting,INR,50,0%,0%,Medium,39,79.88,324.7,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
bluehost server,INR,50,0%,0%,Medium,35,42.92,198.16,,,,,,,,,,,,,,,,,,,web hosting,,bluehost,,,,,,
wordpress domain and hosting,INR,500,900%,0%,Medium,64,66.87,557.09,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, domain web hosting, wordpress hosting, web hosting",,,website,,,,,
top web hosting services,INR,50,0%,0%,Medium,56,54.91,389.96,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
web hosting deals,INR,50,-90%,-90%,Medium,36,103.8,341.95,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
godaddy official website,INR,50,0%,-90%,Low,32,16.71,129.72,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,godaddy,website,,,,,
hosting business,INR,50,0%,0%,Medium,43,16.3,114.16,,,,,,,,,,,,,,,,,,,"business hosting, web hosting",,,,,Non-Brands,,,
free static web hosting,INR,50,0%,0%,Medium,47,28.21,162.62,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, free hosting",,,website,free,,,,
shared hosting plans,INR,50,0%,900%,Low,31,70.82,336.64,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
free hostinger,INR,50,-90%,0%,Medium,41,11.94,62.69,,,,,,,,,,,,,,,,,,,"web hosting, free hosting",,,,free,,hostinger,,
best cheap wordpress hosting,INR,50,0%,0%,Medium,49,99.85,475.84,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",,,,,,,,
parallels plesk panel,INR,50,0%,0%,Low,9,135.8,253.87,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,plesk
hosting hizmetleri,INR,50,?,0%,Low,0,,,,,,,,,,,,,,,,,,,,,web hosting,,,,,Non-Brands,,,
best shared web hosting,INR,500,0%,0%,Low,6,162.61,691.58,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
hostinger offer,INR,500,0%,0%,Medium,38,16.71,74.81,,,,,,,,,,,,,,,,,,,web hosting,,,,,,hostinger,,
best dedicated hosting,INR,50,-90%,0%,Medium,45,198.96,1216.9,,,,,,,,,,,,,,,,,,,web hosting,,,,,Non-Brands,,,
dominios wix,INR,0,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,,wix,web hosting,,,,,,hostinger,,
webfreehosting,INR,50,0%,0%,Low,15,1.83,65.26,,,,,,,,,,,,,,,,,,,"web hosting, free hosting",,,,free,,,,
wordpress free website hosting,INR,500,0%,0%,Medium,57,27.06,169.51,,,,,,,,,,,,,,,,,,wordpress,"website hosting, wordpress hosting, web hosting, free hosting",,,website,free,,,,
offshore web hosting,INR,50,0%,0%,Medium,37,32.82,127.33,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
website hosting for small business,INR,50,0%,0%,Medium,49,142.48,670.72,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
accuweb hosting free,INR,500,0%,0%,Low,30,31.04,326.94,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, free hosting",,,,"free, accuwebhosting",,,,
hostinger shared hosting,INR,500,0%,0%,Medium,34,9.73,47.95,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, free hosting",,,,free,,hostinger,,
contabo dedicated server,INR,50,0%,0%,Medium,59,118.58,346.6,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,contabo,,,,
fastest web hosting for wordpress,INR,50,-90%,0%,Medium,56,190.21,807.78,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, wordpress hosting, web hosting",,,website,,,,,
cheap linux hosting,INR,500,0%,0%,High,67,97.76,432.29,,,,,,,,,,,,,,,,,,,"web hosting services, linux hosting, web hosting",,,,,Non-Brands,,,
ultimate linux hosting with cpanel,INR,50,0%,0%,Medium,46,111.91,304.01,,,,,,,,,,,,,,,,,,,"linux hosting, web hosting",,,,,,,,cpanel
free windows hosting,INR,50,0%,-90%,Medium,64,22.15,203.25,,,,,,,,,,,,,,,,,,,"web hosting services, windows hosting, web hosting, free hosting",,,,free,,,,
google sites hosting,INR,50,0%,0%,Medium,40,21.49,5145.89,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",google,,website,,,,,
cheap unlimited reseller hosting,INR,50,0%,0%,Low,24,54.37,397.92,,,,,,,,,,,,,,,,,,,"web hosting services, reseller hosting, web hosting",,,,,Non-Brands,,,
free php mysql hosting,INR,50,0%,0%,Low,30,18.3,88.2,,,,,,,,,,,,,,,,,,,"web hosting, free hosting",,,,"free, mysql",,,,
best australian web hosting for small business,INR,50,0%,0%,Low,29,,,,,,,,,,,,,,,,,,,,,"website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
find my domain name,INR,50,0%,0%,Medium,35,14.46,148.82,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",,,name,,Non-Brands,,,
wordpress hosting services,INR,50,0%,0%,Medium,50,133.72,705.11,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",,,,,,,,
best wordpress hosting 2020,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",,,,,,,,
hostinger black friday deals 2020,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,web hosting,,,,,,hostinger,2021,
alpha reseller hosting,INR,50,0%,0%,Medium,52,15.09,159.77,,,,,,,,,,,,,,,,,,,"web hosting services, reseller hosting, web hosting",,,,,Non-Brands,,,
hostinger free ssl,INR,50,0%,0%,Low,7,9.73,32.57,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, free hosting",,,,free,,hostinger,,
krystal web hosting,INR,50,0%,0%,Medium,38,,,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
cheapest way to host a website,INR,50,0%,0%,Medium,59,64.56,370.06,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
milesweb hosting,INR,500,900%,0%,Medium,43,36.61,195.78,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,milesweb,,,,
the best web hosting,INR,50,0%,0%,High,69,91.52,513.61,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
siteground black friday deals 2020,INR,50,0%,?,Low,0,,,,,,,,,,,,,,,,,,,,,web hosting,,,,siteground,,,,
web hosting charges,INR,500,0%,0%,Medium,60,34.01,181.45,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
plesk cpanel,INR,50,0%,0%,Low,20,15.92,137.09,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,"cpanel, plesk"
godaddy economy hosting,INR,50,0%,0%,Low,7,8.18,145.88,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,godaddy,,,,,,
siteground hosting packages,INR,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,,,web hosting,,,,siteground,,,,
hostgator wordpress hosting,INR,50,0%,0%,Medium,42,50.04,477.5,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",,hostgator,,,,,,
unlimited email hosting,INR,50,0%,0%,High,71,38.2,172.1,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, email hosting",,,email,,Non-Brands,,,
cheap cpanel,INR,50,0%,0%,Medium,53,32.63,237.96,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,cpanel
hostinger email hosting,INR,50,0%,0%,Low,30,24.49,179.06,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting, free hosting, email hosting",,,email,free,,hostinger,,
best web hosting providers,INR,500,900%,0%,Medium,57,64.66,348.58,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
wordpress enterprise hosting,INR,50,0%,0%,Medium,63,128.13,557.09,,,,,,,,,,,,,,,,,,wordpress,"wordpress hosting, web hosting",,,,,,,,
apache hosting,INR,50,0%,0%,Low,23,29.29,137.53,,,,,,,,,,,,,,,,,,,web hosting,,,,apache,,,,
cheap vps windows hosting,INR,500,0%,0%,Medium,48,101.87,332.66,,,,,,,,,,,,,,,,,,,"web hosting services, vps, windows hosting, web hosting",,,,cheap windows vps,,,,
top web hosting companies,INR,50,0%,0%,Medium,43,34.28,165.53,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
free domain hosting sites,INR,50,0%,-90%,Medium,64,37.31,357.29,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting, free hosting",,,website,free,,,,
premium web hosting,INR,50,0%,0%,Medium,44,38.2,375.78,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, premium hosting, web hosting",,,website,,Non-Brands,,,
1&1 web hosting,INR,50,0%,0%,Low,25,101.07,705.11,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,1&1,website,,,,,
hostgator shared hosting,INR,50,0%,0%,Low,29,50.03,142.53,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,hostgator,,,,,,
plesk linux,INR,50,0%,0%,Low,18,27.06,312.78,,,,,,,,,,,,,,,,,,,"linux hosting, web hosting",,,,,,,,plesk
business website hosting,INR,50,0%,0%,Medium,60,63.67,254.96,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
bluehost coupons,INR,500,0%,0%,Low,7,23.88,146.04,,,,,,,,,,,,,,,,,,,web hosting,,bluehost,,,,,,
free website hosting sites,INR,50,0%,-90%,Medium,54,35.4,253.87,,,,,,,,,,,,,,,,,,,"website hosting, web hosting, free hosting",,,website,free,,,,
best web hosting for ecommerce,INR,50,0%,0%,Medium,39,81.18,414.91,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, ecommerce hosting, web hosting",,,website,,Non-Brands,,,
top free web hosting,INR,50,0%,0%,Low,31,41.79,120.17,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, free hosting",,,website,free,,,,
hostgator features,INR,50,0%,-90%,Low,14,,,,,,,,,,,,,,,,,,,,,web hosting,,hostgator,,,,,,
alan ad? hosting,INR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",,,,,Non-Brands,,,
web and email hosting,INR,50,0%,0%,Low,32,49.88,251.53,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, email hosting",,,"website, email",,Non-Brands,,,
godaddy website builder plans,INR,500,0%,-90%,Low,16,18.42,198.96,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,godaddy,website,,,,,
hostinger usa,INR,50,0%,0%,Low,31,3.4,118.58,,,,,,,,,,,,,,,,,,,web hosting,,,,,,hostinger,,
aws s3 static website https,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,,,"website hosting, cloud hosting, web hosting",aws,,website,,,,,
best wp hosting,INR,50,0%,0%,High,71,146.24,584.14,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",,,,,,,,
black friday web hosting,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
hostgator black friday deals,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,web hosting,,hostgator,,,,,,
cheap linux reseller hosting,INR,500,0%,900%,Low,19,89.66,397.92,,,,,,,,,,,,,,,,,,,"web hosting services, reseller hosting, linux hosting, web hosting",,,,,Non-Brands,,,
free website with custom domain,INR,50,0%,0%,Medium,54,23.09,268.99,,,,,,,,,,,,,,,,,,,"website hosting, domain web hosting, web hosting, free hosting",google,google domains,"website, address",free,,,,
best australian web hosting,INR,500,-90%,-90%,Low,20,69.48,264.22,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
bluehost packages,INR,50,0%,0%,Medium,38,78.16,198.16,,,,,,,,,,,,,,,,,,,web hosting,,bluehost,,,,,,
free web hosting with free domain,INR,50,0%,0%,High,67,29.56,272.18,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting, free hosting",,,website,free,,,,
top website hosting,INR,50,0%,0%,Medium,65,50.93,276.16,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
webhosts,INR,50,0%,0%,High,67,65.26,283.66,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
lite speed web server,INR,50,0%,0%,Low,16,1.79,42.57,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,"litespeed, hosting speed",,,,
the best hosting,INR,50,0%,0%,Low,17,53.3,211.68,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
vps black friday,INR,50,0%,0%,Low,20,74.39,192.59,,,,,,,,,,,,,,,,,,,"vps, web hosting",,,,,Non-Brands,,,
best vps 2021,INR,50,0%,0%,Medium,56,162.02,568.23,,,,,,,,,,,,,,,,,,,"vps, web hosting",,,,,Non-Brands,,2021,
cms web hosting,INR,50,0%,0%,Low,26,61.86,267.4,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
hosting 000webhost,INR,50,0%,0%,Low,7,12.25,409.35,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, free hosting",,,,free,,000webhost,,
ibrave hosting,INR,50,0%,0%,Low,18,40.59,183.04,,,,,,,,,,,,,,,,,,,"cloud hosting, web hosting",,,,lifetime,,,,
endurance web hosting,INR,50,0%,0%,Low,9,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
free domain hosting for wordpress,INR,50,0%,0%,Medium,62,30.1,242.73,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, domain web hosting, wordpress hosting, web hosting, free hosting",,,website,free,,,,
bluehost free hosting,INR,50,0%,-90%,Medium,34,7.16,43.77,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting, free hosting",,bluehost,website,free,,,,
budget hosting,INR,50,0%,0%,High,73,48.63,195.78,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
shared hosting price,INR,500,0%,0%,High,70,35.81,182.8,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
best wordpress hosting sites,INR,50,0%,0%,Medium,55,120.97,590.51,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, wordpress hosting, web hosting",,,website,,,,,
free hosting sites for wordpress,INR,50,900%,0%,Medium,52,37.4,215.67,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, wordpress hosting, web hosting, free hosting",,,website,free,,freehosting,,
js hosting,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
best domain hosting company,INR,50,0%,0%,Low,27,85.95,428.16,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, business hosting, web hosting",,,website,,Non-Brands,,,
managed dedicated server hosting,INR,50,0%,0%,Low,15,159.96,609.21,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
host django website,INR,50,0%,0%,Medium,35,23.88,149.62,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,python,,,,
google web hosting free,INR,500,0%,0%,Medium,37,12.73,7218.64,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, free hosting",google,,website,free,,,,
1on1 hosting,INR,50,0%,0%,Medium,51,27.85,201.5,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,1&1,,,,,,
profreehost wordpress,INR,50,0%,0%,Low,28,16.07,490.24,,,,,,,,,,,,,,,,,,wordpress,"website hosting, wordpress hosting, web hosting, free hosting",,,website,free,,,,
cheap web hosting usa,INR,50,0%,0%,Medium,55,71.63,313.56,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
webhosting services,INR,50,0%,0%,Medium,66,79.58,395.53,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
black friday web hosting deals 2020,INR,50,?,0%,Low,0,,,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
microsoft domain hosting,INR,50,0%,0%,Low,31,26.26,218.06,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",microsoft,,,,,,,
best php hosting,INR,50,0%,0%,Medium,63,113.01,557.88,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
profreehost create new website,INR,50,-90%,0%,Medium,47,14.33,63.67,,,,,,,,,,,,,,,,,,,"website hosting, web hosting, free hosting",,,website,free,,,,
1 dollar web hosting,INR,50,0%,0%,Medium,46,121.05,254.67,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,1 dollar hosting,,,,
hosting ssl,INR,50,0%,0%,Medium,54,48.55,294.46,,,,,,,,,,,,,,,,,,,web hosting,,,,,,hostinger,,
arvixe cpanel,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,,,web hosting,,arvixe,,,,,,cpanel
hostinger vps hosting,INR,500,0%,900%,Medium,49,32.43,135.29,,,,,,,,,,,,,,,,,,,"web hosting services, vps, web hosting, free hosting",,,,free,,hostinger,,
directadmin letsencrypt,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,web hosting,,,,lets host,,,,directadmin
free godaddy website,INR,5000,0%,-90%,Low,28,12.17,198.96,,,,,,,,,,,,,,,,,,,"website hosting, web hosting, free hosting",,godaddy,website,free,,,,
cpanel website,INR,50,-90%,0%,Low,26,19.97,124.15,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,,,,cpanel
best website domain host,INR,50,0%,0%,Medium,60,79.58,533.21,,,,,,,,,,,,,,,,,,,"website hosting, domain web hosting, web hosting",,,"website, name",,Non-Brands,,,
top hosting sites,INR,50,0%,0%,Medium,37,26.36,224.09,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
seo web hosting,INR,50,0%,0%,Low,8,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
transfer web hosting,INR,50,0%,0%,Low,10,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
docker plesk,INR,50,0%,0%,Low,14,,,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,plesk
website builder prices,INR,50,0%,0%,Medium,38,11.02,50.93,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
webhost0000,INR,50,0%,0%,Low,8,35.15,78.08,,,,,,,,,,,,,,,,,,,web hosting,,,,,,000webhost,,
best hosting plans,INR,500,0%,0%,High,79,94.32,455.22,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
domain name hosting services,INR,50,900%,0%,High,68,26.26,202.14,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,,"website, name",,Non-Brands,,,
earthlink web hosting,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,earthlink,,,,
domain hosting website,INR,500,0%,0%,Medium,63,37.51,344.05,,,,,,,,,,,,,,,,,,,"website hosting, domain web hosting, web hosting",,,website,,Non-Brands,,,
cpanel linux,INR,50,0%,0%,Low,19,31.02,262.53,,,,,,,,,,,,,,,,,,,"linux hosting, web hosting",,,,,,,,cpanel
cheap website domains,INR,500,900%,900%,High,75,39,223.63,,,,,,,,,,,,,,,,,,,"website hosting, domain web hosting, web hosting",,,"website, name",,Non-Brands,,,
landing page hosting,INR,50,0%,0%,Medium,43,26.29,159.17,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
free web hosting with cpanel php and mysql,INR,50,0%,-90%,Medium,41,15.12,58.78,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting, free hosting",,,website,"free, mysql",,,,cpanel
affordable web hosting services,INR,50,0%,0%,Low,10,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
semi dedicated hosting,INR,50,0%,0%,Medium,39,,,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
fully managed wordpress hosting,INR,50,0%,0%,Medium,34,86.75,519.68,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, wordpress hosting, web hosting",,,website,fully managed,,,,
dreamhost hosting,INR,50,0%,0%,Low,31,26.26,431.52,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,dreamhost,,,,,,
directadmin hosting,INR,50,0%,0%,Low,32,37,116.19,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,directadmin
website hosting sites,INR,50,0%,0%,High,76,75.44,397.92,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
wix website domain,INR,50,0%,0%,Low,23,70.83,780.72,,,,,,,,,,,,,,,,,,wix,"website hosting, domain web hosting, web hosting",,,"website, name",,,,,
hosting name,INR,5000,0%,0%,Low,1,6.37,60.48,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting",,,name,,Non-Brands,,,
amazon website builder,INR,50,0%,0%,Medium,36,19.1,60.48,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
unlimited website hosting,INR,50,-90%,0%,High,74,62.87,275.36,,,,,,,,,,,,,,,,,,,"website hosting, domain web hosting, web hosting, free hosting",,,website,free,,,,
aws domain hosting,INR,50,0%,0%,Medium,36,19.9,230,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting",aws,,,,,,,
godaddy website plans,INR,50,0%,0%,Low,27,16.28,933.52,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,godaddy,website,,,,,
google cloud wordpress hosting,INR,50,0%,0%,Medium,49,213.28,8615.74,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, cloud hosting, web hosting",google,,,,,,,
hostinger domain name,INR,500,0%,0%,Medium,35,12.25,106.64,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting, free hosting",,,name,free,,hostinger,,
godaddy domain reseller,INR,50,0%,0%,Low,24,12.31,354.94,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, reseller hosting, web hosting",,godaddy,,,,,,
domain name registration and website hosting companies,INR,500,0%,0%,Medium,49,13.53,102.66,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting, domain registration",,,"website, name",,Non-Brands,,,
best website hosting for wordpress,INR,50,0%,0%,High,70,113.01,680.44,,,,,,,,,,,,,,,,,,wordpress,"website hosting, wordpress hosting, web hosting",,,website,,,,,
which hosting,INR,50,0%,0%,Low,7,81.97,273.77,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
